ticker,AAPL,AMZN,GOOGL,HD,JPM,KO,META,MSFT,NVDA,PEP,PG,TSLA,UNH,V,XOM
AAPL,1.0,0.89,0.96,0.97,0.87,0.95,0.82,0.98,0.82,0.9,0.97,0.9,0.89,0.93,0.74
AMZN,0.89,1.0,0.91,0.93,0.87,0.83,0.87,0.91,0.78,0.72,0.89,0.82,0.73,0.93,0.48
GOOGL,0.96,0.91,1.0,0.95,0.93,0.91,0.89,0.97,0.87,0.81,0.92,0.88,0.81,0.93,0.73
HD,0.97,0.93,0.95,1.0,0.89,0.94,0.84,0.97,0.8,0.88,0.96,0.88,0.88,0.96,0.69
JPM,0.87,0.87,0.93,0.89,1.0,0.89,0.95,0.92,0.93,0.66,0.83,0.75,0.66,0.93,0.72
KO,0.95,0.83,0.91,0.94,0.89,1.0,0.8,0.94,0.82,0.88,0.95,0.83,0.85,0.93,0.8
META,0.82,0.87,0.89,0.84,0.95,0.8,1.0,0.89,0.95,0.56,0.79,0.68,0.56,0.88,0.64
MSFT,0.98,0.91,0.97,0.97,0.92,0.94,0.89,1.0,0.86,0.86,0.96,0.86,0.83,0.96,0.74
NVDA,0.82,0.78,0.87,0.8,0.93,0.82,0.95,0.86,1.0,0.56,0.76,0.65,0.55,0.84,0.77
PEP,0.9,0.72,0.81,0.88,0.66,0.88,0.56,0.86,0.56,1.0,0.92,0.8,0.94,0.8,0.71
PG,0.97,0.89,0.92,0.96,0.83,0.95,0.79,0.96,0.76,0.92,1.0,0.86,0.89,0.94,0.68
TSLA,0.9,0.82,0.88,0.88,0.75,0.83,0.68,0.86,0.65,0.8,0.86,1.0,0.82,0.8,0.57
UNH,0.89,0.73,0.81,0.88,0.66,0.85,0.56,0.83,0.55,0.94,0.89,0.82,1.0,0.79,0.69
V,0.93,0.93,0.93,0.96,0.93,0.93,0.88,0.96,0.84,0.8,0.94,0.8,0.79,1.0,0.66
XOM,0.74,0.48,0.73,0.69,0.72,0.8,0.64,0.74,0.77,0.71,0.68,0.57,0.69,0.66,1.0
