ticker,rows,start,end
AAPL,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
AMZN,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
GOOGL,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
HD,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
JPM,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
KO,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
META,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
MSFT,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
NVDA,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
PEP,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
PG,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
TSLA,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
UNH,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
V,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
XOM,2579,2015-12-08 00:00:00.000000,2025-10-24 00:00:00.000000
